,ticker,mentions
0,AMD,64
1,WISH,40
2,CLOV,37
3,CRSR,23
4,AMZN,22
5,TSLA,21
6,HOOD,20
7,MVST,19
8,TA,15
9,SOFI,15
10,LCID,14
11,MRNA,11
12,AAPL,10
13,CLNE,10
14,UPST,9
15,VIAC,9
16,SAVA,9
17,NVDA,8
18,ROKU,8
19,PTRA,7
20,FB,7
21,WKHS,7
22,ME,7
23,TLRY,6
24,IQ,6
25,SNDL,6
26,ANY,6
27,NKLA,6
28,III,6
29,NFLX,5
30,GOOGL,5
31,MCFE,5
32,MSFT,5
33,GOOG,4
34,SBUX,4
35,INTC,4
36,HUGE,4
37,JD,3
38,AVPT,3
39,FREE,3
40,ETSY,3
41,XLNX,3
42,MVIS,3
43,RAM,3
44,ASTR,3
45,CAC,3
46,MU,3
47,VERY,3
48,GAIN,3
49,PDD,2
50,PRPL,2
51,PYPL,2
52,NEGG,2
53,NEXT,2
54,STLD,2
55,TTD,2
56,ERIC,2
57,COIN,2
58,DKNG,2
59,LYFT,2
60,FOX,1
61,WEN,1
62,IBKR,1
63,BOOM,1
64,LINK,1
65,KIDS,1
66,LOAN,1
67,EBON,1
68,CARE,1
69,PCT,1
70,BNTX,1
71,AAL,1
72,ZG,1
73,FORD,1
74,EBAY,1
75,ASTS,1
76,API,1
77,HEAR,1
78,CRSP,1
79,EA,1
80,DOYU,1
81,HALO,1
82,CGC,1
83,BNGO,1
84,PENN,1
85,LOGI,1
86,MMAT,1
87,ATVI,1
88,UHAL,1
89,BBBY,1
90,TLSA,1
91,WOOF,1
92,PTON,1
