,Unnamed: 0,date,ticker,TWEET,Vader Sentiment,Vader Analysis
0,0,2021-08-22 06:56:39,TSM,@davidstocktrade $TSM is now sitting dead on support after the recent decline.  This stock needs to hold $107 support level next few days otherwise likely heading towards $100 or lower  https://t.co/p5RK5dKg5I,-0.2732,Neutral
1,1,2021-08-20 22:37:46,FB,Anyone recall when $FB came public?  There was a lot of buzz around the IPO. It was met with both love &amp; hate. First few days started off being a disaster and even tanked after reporting 1st earnings report as public company.  Wonder if in a few years $HOOD gets a similar fate?  https://t.co/vnIPkhI4fb,-0.6072,Negative
2,2,2021-08-20 22:37:46,HOOD,Anyone recall when $FB came public?  There was a lot of buzz around the IPO. It was met with both love &amp; hate. First few days started off being a disaster and even tanked after reporting 1st earnings report as public company.  Wonder if in a few years $HOOD gets a similar fate?  https://t.co/vnIPkhI4fb,-0.6072,Negative
3,3,2021-08-18 22:47:29,HOOD,"If $HOOD wasn't reporting earnings after the close today, the stock looks to be setting up quite nicely here coming out of this wedge breakout.  Will be very interesting to see how this plays out. On PEG watch...  https://t.co/oygdL2HeTI",0.8144,Positive
4,4,2021-08-14 00:40:12,NVAX,$NVAX .... good relative strength into the close  https://t.co/kaUoxtfTlX,0.7269,Positive
5,5,2021-08-13 22:03:12,AMD,$AMD finding some bids and standing out today in what is otherwise a weak tape...  https://t.co/D8ShsKIZ25,-0.4404,Neutral
6,6,2021-08-13 00:14:27,NVAX,$NVAX ... starting to like what this stock is doing here...  Accumulation Volume patterns have been building in the stock last few days as it approaches some resistance.  First Targets: $300 to $330  https://t.co/QVnVErmtX1,0.3612,Neutral
7,7,2021-08-12 21:15:26,INO,$INO is quite speculative and volatile name but from a purely technical standpoint... this one appears to be trying to put in a bottom  https://t.co/j8RCtAqeSX,0.0891,Neutral
8,8,2021-08-21 06:11:19,LOKB,"📢 $LOKB - Navitas deadline extension  $LOKB Extends Tender Offer Related to Business Combination with Navitas Until 11:59 p.m., 🗓️September 17, 2021    https://t.co/Ao70vo8PRq",0.128,Neutral
9,9,2021-08-21 06:11:19,LOKB,"📢 $LOKB - Navitas deadline extension  $LOKB Extends Tender Offer Related to Business Combination with Navitas Until 11:59 p.m., 🗓️September 17, 2021    https://t.co/Ao70vo8PRq",0.128,Neutral
10,10,2021-08-20 19:27:09,MUDS,❌ $MUDS announces termination of merger agreement with Topps    https://t.co/mASyppkwXj,0.4939,Neutral
11,11,2021-08-20 19:24:52,STEM,"📢 $STEM warrant redemption  Stem Issues Notice of Redemption for Public Warrants  The last day of trading will be the immediately preceding trading day, which is expected to be🗓️Friday, September 17, 2021.   https://t.co/rlwm8PnvNP",0.0,Neutral
