,neg,neu,pos,compound
AMD,0.076,0.790,0.130,0.099
CLOV,0.074,0.792,0.130,0.097
TSLA,0.081,0.786,0.129,0.092
AMZN,0.092,0.769,0.134,0.065
HOOD,0.103,0.761,0.134,0.053
AAPL,0.081,0.796,0.119,0.057
WISH,0.073,0.764,0.159,0.148
CRSR,0.072,0.776,0.147,0.167
LCID,0.063,0.803,0.132,0.145
TA,0.071,0.792,0.133,0.124
NVDA,0.075,0.807,0.115,0.062
MVST,0.071,0.792,0.134,0.127
SOFI,0.070,0.801,0.126,0.100
CLNE,0.080,0.773,0.142,0.126
FB,0.091,0.787,0.118,0.044
TLRY,0.065,0.818,0.115,0.099
NKLA,0.082,0.779,0.138,0.090
MSFT,0.089,0.790,0.120,0.037
WKHS,0.072,0.774,0.151,0.127
ROKU,0.069,0.777,0.153,0.165
IQ,0.067,0.798,0.133,0.135
MRNA,0.081,0.798,0.117,0.028
ETSY,0.083,0.752,0.163,0.124
MMAT,0.070,0.793,0.131,0.102
SAVA,0.064,0.797,0.134,0.157
MVIS,0.057,0.785,0.150,0.190
HUGE,0.079,0.776,0.142,0.114
III,0.059,0.802,0.137,0.187
FREE,0.071,0.812,0.112,0.082
VIAC,0.055,0.795,0.147,0.217
GOOG,0.095,0.784,0.116,0.038
SNDL,0.068,0.793,0.137,0.133
NFLX,0.069,0.784,0.142,0.205
PTRA,0.056,0.794,0.150,0.190
MCFE,0.070,0.785,0.145,0.149
ME,0.074,0.801,0.121,0.126
CGC,0.053,0.822,0.125,0.152
BNTX,0.090,0.813,0.094,-0.038
PTON,0.075,0.784,0.137,0.133
VERY,0.085,0.793,0.122,0.087
GAIN,0.069,0.774,0.155,0.205
AAL,0.079,0.772,0.142,0.160
AVPT,0.061,0.772,0.165,0.199
DKNG,0.064,0.788,0.131,0.119
DOYU,0.104,0.773,0.118,0.049
NEXT,0.089,0.765,0.147,0.103
WOOF,0.065,0.788,0.147,0.138
ANY,0.065,0.760,0.172,0.174
JD,0.082,0.786,0.126,0.102
NEGG,0.090,0.768,0.142,0.081
SBUX,0.061,0.797,0.127,0.121
UHAL,0.106,0.790,0.103,-0.041
GOOGL,0.077,0.770,0.150,0.153
BBBY,0.063,0.792,0.145,0.137
RAM,0.058,0.799,0.143,0.233
LOAN,0.080,0.802,0.111,0.004
API,0.071,0.763,0.162,0.173
MSTR,0.086,0.775,0.136,0.094
IBKR,0.118,0.748,0.134,0.009
XLNX,0.052,0.816,0.128,0.193
EBAY,0.088,0.771,0.141,0.115
TLSA,0.072,0.764,0.159,0.122
HALO,0.052,0.804,0.144,0.241
EA,0.102,0.791,0.106,0.030
LYFT,0.042,0.781,0.177,0.212
CAC,0.063,0.800,0.132,0.172
RUN,0.065,0.768,0.167,0.197
FOX,0.059,0.808,0.126,0.150
JAMF,0.059,0.808,0.126,0.150
SIC,0.054,0.753,0.188,0.238
CASH,0.080,0.754,0.165,0.164
MU,0.089,0.791,0.113,0.079
STMP,0.062,0.778,0.154,0.144
INTC,0.049,0.854,0.097,0.105
BOOM,0.081,0.809,0.110,0.053
MOVE,0.126,0.746,0.128,-0.038
MIND,0.126,0.746,0.128,-0.038
GAME,0.126,0.746,0.128,-0.038
TTD,0.066,0.789,0.145,0.137
COIN,0.080,0.779,0.141,0.104
WBA,0.114,0.802,0.083,-0.034
CARE,0.071,0.786,0.103,0.061
BNGO,0.048,0.811,0.141,0.168
PENN,0.048,0.811,0.141,0.168
HEAR,0.052,0.804,0.144,0.270
CRSP,0.074,0.752,0.165,0.105
LOGI,0.070,0.820,0.101,0.129
STLD,0.074,0.809,0.117,0.099
KIDS,0.079,0.790,0.132,0.119
FORD,0.061,0.801,0.128,0.191
FAT,0.070,0.809,0.121,0.152
GOEV,0.048,0.843,0.109,0.107
LINK,0.082,0.791,0.127,0.146
KHC,0.077,0.775,0.149,0.118
PYPL,0.072,0.813,0.115,0.071
ASTR,0.054,0.843,0.103,0.056
DUOL,0.105,0.786,0.109,0.085
ATVI,0.078,0.796,0.126,0.076
GROW,0.073,0.841,0.086,0.019
ZG,0.088,0.754,0.157,0.106
EBON,0.089,0.794,0.117,0.013
PCT,0.089,0.794,0.117,0.013
ASO,0.080,0.766,0.133,0.151
PDD,0.123,0.778,0.099,0.009
UPST,0.063,0.785,0.152,0.212
PRPL,0.088,0.753,0.158,0.123
ERIC,0.050,0.831,0.119,0.048
ASTS,0.012,0.860,0.128,0.234
ARVL,0.115,0.744,0.141,0.053
WEN,0.058,0.751,0.133,0.131
